freq,unit,sex,age,geo\TIME_PERIOD	2017 	2021 
A,PC,T,Y18-24,TR32	33.3 	23.7 b
A,PC,T,Y18-24,TR33	33.0 	23.9 b
A,PC,T,Y18-24,TR4	27.7 	18.5 b
A,PC,T,Y18-24,TR41	28.5 	19.2 b
A,PC,T,Y18-24,TR42	26.8 	17.9 b
A,PC,T,Y18-24,TR5	25.6 	16.7 b
A,PC,T,Y18-24,TR51	20.4 	13.3 b
A,PC,T,Y18-24,TR52	35.3 	23.9 b
A,PC,T,Y18-24,TR6	31.8 	21.8 b
A,PC,T,Y18-24,TR61	29.2 	18.4 b
A,PC,T,Y18-24,TR62	31.6 	22.3 b
A,PC,T,Y18-24,TR63	34.5 	24.1 b
A,PC,T,Y18-24,TR7	31.2 	22.5 b
A,PC,T,Y18-24,TR71	30.9 	24.6 b
A,PC,T,Y18-24,TR72	31.4 	21.1 b
A,PC,T,Y18-24,TR8	28.1 	16.1 b
A,PC,T,Y18-24,TR81	23.8 	14.1 b
A,PC,T,Y18-24,TR82	23.4 	16.9 b
A,PC,T,Y18-24,TR83	30.7 	16.6 b
A,PC,T,Y18-24,TR9	21.6 	14.6 b
A,PC,T,Y18-24,TR90	21.6 	14.6 b
A,PC,T,Y18-24,TRA	40.0 	29.0 b
A,PC,T,Y18-24,TRA1	24.4 	16.7 b
A,PC,T,Y18-24,TRA2	53.2 	40.7 b
A,PC,T,Y18-24,TRB	45.3 	36.2 b
A,PC,T,Y18-24,TRB1	21.1 	17.8 b
A,PC,T,Y18-24,TRB2	59.0 	46.4 b
A,PC,T,Y18-24,TRC	47.9 	41.4 b
A,PC,T,Y18-24,TRC1	41.7 	33.8 b
A,PC,T,Y18-24,TRC2	52.4 	47.7 b
A,PC,T,Y18-24,TRC3	46.2 	38.6 b
A,PC,T,Y18-24,UK	10.6 	: 
A,PC,T,Y18-24,UKC	11.2 	: 
A,PC,T,Y18-24,UKC1	14.5 	: 
A,PC,T,Y18-24,UKC2	8.9 	: 
A,PC,T,Y18-24,UKD	10.5 	: 
A,PC,T,Y18-24,UKD1	: u	: 
A,PC,T,Y18-24,UKD3	10.6 	: 
A,PC,T,Y18-24,UKD4	9.3 	: 
A,PC,T,Y18-24,UKD6	7.2 u	: 
A,PC,T,Y18-24,UKD7	13.3 	: 
A,PC,T,Y18-24,UKE	13.9 	: 
A,PC,T,Y18-24,UKE1	15.3 	: 
A,PC,T,Y18-24,UKE2	10.3 u	: 
A,PC,T,Y18-24,UKE3	14.7 	: 
A,PC,T,Y18-24,UKE4	14.0 	: 
A,PC,T,Y18-24,UKF	11.3 	: 
A,PC,T,Y18-24,UKF1	13.3 	: 
A,PC,T,Y18-24,UKF2	8.1 	: 
A,PC,T,Y18-24,UKF3	14.5 u	: 
A,PC,T,Y18-24,UKG	13.6 	: 
A,PC,T,Y18-24,UKG1	9.6 u	: 
A,PC,T,Y18-24,UKG2	12.4 	: 
A,PC,T,Y18-24,UKG3	15.3 	: 
A,PC,T,Y18-24,UKH	13.9 	: 
A,PC,T,Y18-24,UKH1	17.6 	: 
A,PC,T,Y18-24,UKH2	11.0 	: 
A,PC,T,Y18-24,UKH3	11.9 	: 
A,PC,T,Y18-24,UKI	6.0 	: 
A,PC,T,Y18-24,UKI3	: u	: 
A,PC,T,Y18-24,UKI4	4.7 	: 
A,PC,T,Y18-24,UKI5	10.3 	: 
A,PC,T,Y18-24,UKI6	7.1 u	: 
A,PC,T,Y18-24,UKI7	4.9 u	: 
A,PC,T,Y18-24,UKJ	9.4 	: 
A,PC,T,Y18-24,UKJ1	8.8 	: 
A,PC,T,Y18-24,UKJ2	7.0 	: 
A,PC,T,Y18-24,UKJ3	10.1 	: 
A,PC,T,Y18-24,UKJ4	14.0 	: 
A,PC,T,Y18-24,UKK	9.1 	: 
A,PC,T,Y18-24,UKK1	9.7 	: 
A,PC,T,Y18-24,UKK2	8.6 u	: 
A,PC,T,Y18-24,UKK3	: u	: 
A,PC,T,Y18-24,UKK4	9.3 	: 
A,PC,T,Y18-24,UKL	10.1 	: 
A,PC,T,Y18-24,UKL1	12.3 	: 
A,PC,T,Y18-24,UKL2	6.9 u	: 
A,PC,T,Y18-24,UKM	10.3 	: 
A,PC,T,Y18-24,UKM5	11.7 u	: 
A,PC,T,Y18-24,UKM6	: u	: 
A,PC,T,Y18-24,UKM7	10.4 	: 
A,PC,T,Y18-24,UKM8	9.8 	: 
A,PC,T,Y18-24,UKM9	11.4 u	: 
A,PC,T,Y18-24,UKN	11.2 	: 
A,PC,T,Y18-24,UKN0	11.2 	: 
